sourcetype,scope,security_classification,security_relevance,data_models,vendor,description,expanded_desc,exclude,exclude_reason,reviewed_by,reviewed_date,provenance
snow:change_task,operational,,med,Change.All_Changes,ServiceNow,ServiceNow change task records,ServiceNow change_task table records - tasks under a change_request. Provides execution-level granularity for change-correlation use cases.,N,,AI Analysis,3/25/2026,human_curated
snow:cmdb,operational,,low,Compute_Inventory.All_Inventory,ServiceNow,ServiceNow CMDB records,ServiceNow CMDB base table snapshot - generic CI record set when more specific cmdb_ci_* tables are not collected. Foundational asset reference data.,N,,AI Analysis,3/25/2026,human_curated
snow:cmdb_ci,operational,,low,Inventory.Inventory,ServiceNow,ServiceNow CMDB configuration items,ServiceNow CMDB Configuration Item (cmdb_ci) parent table - common attributes for every configuration item. Feeds the Inventory data model.,N,,AI Analysis,3/25/2026,human_curated
snow:cmdb_ci_app_server,operational,,low,Inventory.Inventory,ServiceNow,ServiceNow CMDB app server records,"ServiceNow cmdb_ci_app_server records - application server CIs (Tomcat, JBoss, WebLogic etc.). Inventory data model contributor.",N,,AI Analysis,3/25/2026,human_curated
snow:cmdb_ci_computer,operational,,low,Compute_Inventory.All_Inventory,ServiceNow,ServiceNow CMDB records,ServiceNow cmdb_ci_computer records - workstation and server computer CIs. Asset enrichment source for Splunk Enterprise Security Assets and Identities.,N,,AI Analysis,3/25/2026,human_curated
snow:cmdb_ci_database,operational,,low,Inventory.Inventory,ServiceNow,ServiceNow CMDB database records,ServiceNow cmdb_ci_database records - logical database CIs grouping schemas and instances. Inventory data model contributor.,N,,AI Analysis,3/25/2026,human_curated
snow:cmdb_ci_db_instance,operational,,low,Compute_Inventory.All_Inventory,ServiceNow,ServiceNow CMDB records,"ServiceNow cmdb_ci_db_instance records - DB engine instance CIs (Oracle, MSSQL, PostgreSQL instances). Inventory data model contributor.",N,,AI Analysis,3/25/2026,human_curated
snow:cmdb_ci_infra_service,operational,,low,Compute_Inventory.All_Inventory,ServiceNow,ServiceNow CMDB records,ServiceNow cmdb_ci_infra_service records - infrastructure service CIs that aggregate underlying technical components.,N,,AI Analysis,3/25/2026,human_curated
snow:cmdb_ci_network_adapter,operational,,low,Inventory.Inventory,ServiceNow,ServiceNow CMDB network adapter records,"ServiceNow cmdb_ci_network_adapter records - NIC CIs with IP, MAC, VLAN bindings. Useful for IP-to-asset correlation in ES.",N,,AI Analysis,3/25/2026,human_curated
snow:cmdb_ci_server,operational,,low,Inventory.Inventory,ServiceNow,ServiceNow CMDB server records,ServiceNow cmdb_ci_server records - physical/virtual server CIs. Primary ES Assets and Identities enrichment source from ServiceNow.,N,,AI Analysis,3/25/2026,human_curated
snow:cmdb_ci_service,operational,,low,Compute_Inventory.All_Inventory,ServiceNow,ServiceNow CMDB records,ServiceNow cmdb_ci_service records - business service CIs. Maps technical assets to business services for ES prioritization.,N,,AI Analysis,3/25/2026,human_curated
snow:cmdb_ci_vm_instance,operational,,low,Inventory.Inventory,ServiceNow,ServiceNow CMDB VM instance records,ServiceNow cmdb_ci_vm_instance records - virtual machine CIs across VMware/Hyper-V/cloud hypervisors. Inventory data model contributor.,N,,AI Analysis,3/25/2026,human_curated
snow:cmdb_ci_web_server,operational,,low,Inventory.Inventory,ServiceNow,ServiceNow CMDB web server records,"ServiceNow cmdb_ci_web_server records - web server CIs (Apache, IIS, nginx). Inventory data model contributor.",N,,AI Analysis,3/25/2026,human_curated
snow:cmdb_rel_ci,operational,,low,Compute_Inventory.All_Inventory,ServiceNow,ServiceNow CMDB records,ServiceNow cmdb_rel_ci records - parent/child CI relationships. Required to reconstruct application stacks and impact graphs in Splunk.,N,,AI Analysis,3/25/2026,human_curated
snow:cmn_location,operational,,low,,ServiceNow,ServiceNow snow:cmn_location,"ServiceNow cmn_location records - physical location hierarchy (site, building, floor, room). Used for geo enrichment of assets.",N,,AI Analysis,3/25/2026,human_curated
snow:em_event,operational,,med,Alerts.Alerts,ServiceNow,ServiceNow event management,ServiceNow Event Management (em_event) records - normalized events that drove alerts/incidents in SNOW EM. Useful for closed-loop integration with Splunk ITSI.,N,,AI Analysis,3/25/2026,human_curated
snow:incident,operational,,med,Alerts.Alerts,ServiceNow,ServiceNow incident records,"ServiceNow incident table records - service-impacting tickets with state, priority, assignment_group, opened/closed timestamps. Used for IT-ops correlation and SOAR ticket sync.",N,,AI Analysis,3/25/2026,human_curated
snow:problem,operational,,med,Alerts.Alerts,ServiceNow,ServiceNow problem records,ServiceNow problem table records - root-cause investigations linked to recurring incidents. Operational quality input.,N,,AI Analysis,3/25/2026,human_curated
snow:sys_audit,operational,,med,Change.Audit_Logs,ServiceNow,ServiceNow system audit logs,ServiceNow sys_audit table - field-level audit history of changes to records when table auditing is enabled. Primary Change data model source for SNOW.,N,,AI Analysis,3/25/2026,human_curated
snow:sys_audit_delete,operational,,med,Change.Audit_Logs,ServiceNow,ServiceNow system audit delete records,ServiceNow sys_audit_delete table - record-deletion audit trail capturing what was removed and by whom. High-value Change data model contributor.,N,,AI Analysis,3/25/2026,human_curated
snow:sys_choice,operational,,low,,ServiceNow,ServiceNow snow:sys_choice,ServiceNow sys_choice table records - dropdown list value definitions per table/field. Lookup metadata used to decode coded values in other SNOW sourcetypes.,N,,AI Analysis,3/25/2026,human_curated
snow:sys_user,operational,,low,,ServiceNow,ServiceNow user records,ServiceNow sys_user table records - user account inventory and attributes. Feeds Identity_Management data model and ES Assets/Identities.,N,,AI Analysis,3/25/2026,human_curated
snow:sys_user_group,operational,,low,,ServiceNow,ServiceNow user records,ServiceNow sys_user_group table records - group inventory and parent/child group hierarchy. Identity_Management data model contributor.,N,,AI Analysis,3/25/2026,human_curated
snow:sysevent,operational,,med,Alerts.Alerts,ServiceNow,ServiceNow event management,ServiceNow sysevent records - internal platform event queue. Operational/diagnostic input typically combined with Workflow and Flow Designer activity.,N,,AI Analysis,3/25/2026,human_curated
siemens:mindsphere,operational,,none,Performance.All_Performance,Siemens,Siemens MindSphere IoT data,"Siemens MindSphere / Insights Hub IoT/OT cloud data - device telemetry, KPIs, and event streams.",N,,MDI Reference,4/3/2026,human_curated
slack,operational,,low,"Change.All_Changes, Authentication.Authentication",Slack,Slack collaboration platform logs,"Slack collaboration platform log - via the Splunk Add-on for Slack: audit log events, user activity, channel and file actions.",N,,AI Analysis,3/25/2026,human_curated
snort,security,IDS,high,Intrusion_Detection.IDS_Attacks,Snort,Snort IDS/IPS logs,"Snort IDS/IPS alert log - signature ID, classification, source/dest IP, and packet detail. Feeds the IDS data model.",N,,AI Analysis,3/25/2026,human_curated
ccure:event,security,,med,Authentication.Authentication,Software House,CCure 9000 access control logs,"Software House C-CURE 9000 physical access control event - cardholder action, alarm, door, and admin events.",N,,MDI Reference,4/3/2026,human_curated
solarwinds:ncm,operational,,none,Change.All_Changes,SolarWinds,SolarWinds NCM config changes,"SolarWinds Network Configuration Manager change log - per-device config snapshot, diff, and admin push activity. Feeds the Change data model.",N,,MDI Reference,4/3/2026,human_curated
solarwinds:orion,operational,,none,"Alerts.Alerts, Performance.All_Performance",SolarWinds,SolarWinds Orion NPM events,"SolarWinds Orion NPM events - node up/down, threshold alerts, and admin activity from the Orion platform.",N,,MDI Reference,4/3/2026,human_curated
sonarqube:events,operational,,low,Vulnerabilities.Vulnerabilities,SonarSource,SonarQube code analysis events,"SonarSource SonarQube event log - project, quality gate, scan run, and admin activity from the SonarQube webhook/API.",N,,MDI Reference,4/3/2026,human_curated
nexus:audit,security,,med,Change.All_Changes,Sonatype,Sonatype Nexus audit log,"Sonatype Nexus Repository audit log - user, role, repository, and security configuration changes.",N,,MDI Reference,4/3/2026,human_curated
sonicwall,security,NGFW,high,"Network_Traffic.All_Traffic, Intrusion_Detection.IDS_Attacks",SonicWall,SonicWall firewall logs,"SonicWall NGFW syslog - traffic, IPS, application control, anti-spyware events. Feeds Network_Traffic, IDS data models.",N,,AI Analysis,3/25/2026,human_curated
sophos,security,EDR,high,"Endpoint.Processes, Malware.Malware_Operations",Sophos,Sophos endpoint protection logs,"Sophos Central / Intercept X endpoint event log - malware, exploit, ransomware rollback, web protection events.",N,,AI Analysis,3/25/2026,human_curated
kvstore,operational,,none,,Splunk,KV store logs,"Splunk KV Store log (mongod.log subset) - the MongoDB-derived KV store engine messages, replication, and slow-query diagnostics. Operational platform health.",Y,Splunk internal - KV store logs,MDI Default,3/25/2026,human_curated
modular_alerts,operational,SIEM,med,Alerts.Alerts,Splunk,Splunk modular alert logs,"Generic Splunk modular alert action output catch-all - emitted by any custom alert action that writes back to Splunk. Routed to per-action subtypes (notable, risk, victorops, etc.) when configured.",N,,AI Analysis,3/25/2026,human_curated
modular_alerts:get_io_vulnerability_summary,security,VMS,high,Vulnerabilities.Vulnerabilities,Splunk,Splunk vulnerability summary alert,Tenable.io vulnerability summary alert output - results from the Splunk Add-on for Tenable get_io_vulnerability_summary modular alert action.,N,,AI Analysis,3/25/2026,human_curated
modular_alerts:notable,security,SIEM,high,Alerts.Alerts,Splunk,Splunk ES notable event output,Splunk Enterprise Security notable event output - records produced by the createnotable modular alert. Foundational for ES Incident Review and Risk-Based Alerting workflows.,N,,AI Analysis,3/25/2026,human_curated
modular_alerts:risk,security,SIEM,high,Alerts.Alerts,Splunk,Splunk ES risk modular alert,Splunk Enterprise Security risk modular alert output - per-event risk score assignments written to the risk index by the risk-modular alert action. Core RBA input.,N,,AI Analysis,3/25/2026,human_curated
modular_alerts:victorops,operational,,low,,Splunk,Splunk VictorOps alert action,VictorOps (Splunk On-Call) alert action output - records the dispatch of pages from Splunk searches to VictorOps. Operational alerting bridge.,N,,AI Analysis,3/25/2026,human_curated
phantom:audit,security,SOAR,med,"Change.All_Changes, Alerts.Alerts",Splunk,Splunk SOAR (Phantom) audit log,"Splunk SOAR (formerly Phantom) audit log - user actions, asset changes, playbook executions, role/permission modifications. Primary Change/Authentication source for the SOAR platform.",N,,MDI Reference,4/3/2026,human_curated
scheduler,operational,SIEM,low,Change.All_Changes,Splunk,Splunk scheduler logs,"Splunk scheduler log (scheduler.log) - lists every scheduled search dispatch, status, and runtime. Critical for ES correlation search and dashboard panel monitoring.",Y,Splunk internal - search scheduler logs,AI Analysis,3/25/2026,human_curated
Script:GetDiskInfo,operational,,none,Performance.Performance,Splunk,Scripted input for disk information,"Splunk Add-on for Microsoft Windows scripted input - logical disk inventory snapshot (drive letter, capacity, free space, filesystem). Feeds the Inventory data model.",N,,AI Analysis,3/25/2026,human_curated
Script:GetInstalledSoftware,operational,,low,Inventory.Inventory,Splunk,Scripted input for installed software,Splunk Add-on for Windows scripted input - inventory of installed software packages from registry uninstall keys. Feeds Inventory and Updates data models.,N,,AI Analysis,3/25/2026,human_curated
Script:GetLocalGroups,operational,,low,Inventory.Inventory,Splunk,Scripted input for local groups,Splunk Add-on for Windows scripted input - local group membership inventory. Critical for Identity_Management and privilege-creep monitoring.,N,,AI Analysis,3/25/2026,human_curated
Script:GetLocalUsers,operational,,low,Inventory.Inventory,Splunk,Scripted input for local user accounts,Splunk Add-on for Windows scripted input - local user account inventory and attributes. Identity_Management data model contributor.,N,,AI Analysis,3/25/2026,human_curated
Script:GetNetworkAdapters,operational,,low,Inventory.Inventory,Splunk,Scripted input for network adapters,"Splunk Add-on for Windows scripted input - NIC inventory: IP, MAC, DNS settings, gateway. Inventory data model contributor.",N,,AI Analysis,3/25/2026,human_curated
Script:GetProcesses,operational,,low,Endpoint.Processes,Splunk,Scripted input for running processes,"Splunk Add-on for Windows scripted input - process snapshot (pid, name, owner, parent, command line). Feeds Endpoint.Processes inventory.",N,,AI Analysis,3/25/2026,human_curated
Script:GetServices,operational,,low,Inventory.Inventory,Splunk,Scripted input for system services,"Splunk Add-on for Windows scripted input - Windows Services inventory (display name, start type, state, account). Feeds the Inventory data model.",N,,AI Analysis,3/25/2026,human_curated
Script:GetSystemInfo,operational,,low,Inventory.Inventory,Splunk,Scripted input for system information,"Splunk Add-on for Windows scripted input - OS, hostname, manufacturer, model, BIOS, memory configuration snapshot. Inventory data model contributor.",N,,AI Analysis,3/25/2026,human_curated
Script:InstalledApps,operational,,low,Compute_Inventory.All_Inventory,Splunk,Splunk scripted input: installed apps,Variant of GetInstalledSoftware - registry-based installed application inventory used by older add-on builds.,N,,AI Analysis,3/25/2026,human_curated
Script:ListeningPorts,operational,,low,Endpoint.Ports,Splunk,Splunk scripted input: listening ports,Splunk Add-on for Windows scripted input - listening TCP/UDP sockets via netstat-style enumeration. Network_Sessions/Inventory contributor.,N,,AI Analysis,3/25/2026,human_curated
Script:NetworkConfiguration,operational,,low,Compute_Inventory.All_Inventory.Network,Splunk,Splunk scripted input: network config,"Splunk Add-on for Windows scripted input - aggregate network configuration including adapters, routes, and DNS settings. Inventory data model contributor.",N,,AI Analysis,3/25/2026,human_curated
Script:TimesyncConfiguration,operational,,low,Performance.OS.Timesync,Splunk,Splunk scripted input: time sync config,"Splunk Add-on for Windows scripted input - Windows Time service configuration (NTP source, sync interval). Critical for SIEM clock correctness assurance.",N,,AI Analysis,3/25/2026,human_curated
Script:TimesyncStatus,operational,,low,Performance.OS.Timesync,Splunk,Splunk scripted input: time sync status,"Splunk Add-on for Windows scripted input - current Windows Time sync state, offset, last sync. Detects drift impacting investigation timelines.",N,,AI Analysis,3/25/2026,human_curated
splunk,operational,SIEM,med,Alerts.Alerts,Splunk,Splunk platform logs,"Generic Splunk-emitted log catch-all - typically used when finer routing has not been configured. Prefer splunkd, splunkd_access, splunk_python, etc. for specific subsystems.",N,,AI Analysis,3/25/2026,human_curated
splunk:cert:expiration,operational,,low,Certificates.SSL,Splunk,Splunk certificate expiration monitor,"Splunk certificate expiration monitor output - tracks impending expiry for Splunk server/forwarder TLS certs. Operational hygiene, but security-relevant for inter-tier TLS posture.",N,,AI Analysis,5/27/2026,human_curated
splunk_disk_objects,operational,,none,,Splunk,disk monitoring,"Splunk internal introspection - disk usage by indexes, components, and volumes (splunk_disk_objects index). Operational capacity telemetry.",Y,Splunk internal - disk monitoring,MDI Default,3/25/2026,human_curated
splunk_python,operational,,none,,Splunk,Python logs,"Splunk Python tier log (python.log) - tracebacks and messages from Python-based modular inputs, scripts, search commands, and add-ons.",Y,Splunk internal - Python logs,MDI Default,3/25/2026,human_curated
splunk_resource_usage,operational,,none,,Splunk,resource usage,Splunk introspection resource usage - per-process CPU/memory/IO sampled by the introspection generator. Operational platform health telemetry.,Y,Splunk internal - resource usage,MDI Default,3/25/2026,human_curated
splunk_search,operational,SIEM,low,Change.All_Changes,Splunk,Splunk search logs,"Splunk search audit detail (search.log per dispatch / search_messages.log) - per-search diagnostics including parsing, dispatch, and search-time errors.",N,,AI Analysis,3/25/2026,human_curated
splunk_web_access,operational,SIEM,med,Web.Web,Splunk,Splunk web interface access logs,Splunk Web access log - the Python-tier splunkweb HTTP server access entries. Largely overlapping with splunkd_ui_access depending on Splunk version.,Y,Splunk internal - web UI access logs,AI Analysis,3/25/2026,human_curated
splunk_web_service,operational,SIEM,low,Alerts.Alerts,Splunk,Splunk web service logs,"Splunk Web service log (web_service.log) - splunkweb application service messages including session, error, and route diagnostics.",Y,Splunk internal - web service logs,AI Analysis,3/25/2026,human_curated
splunkd,operational,SIEM,med,Alerts.Alerts,Splunk,Splunk daemon logs,"Core Splunk daemon log from $SPLUNK_HOME/var/log/splunk/splunkd.log - indexing, search, replication, license, and component messages. Foundational for monitoring the Splunk platform itself.",Y,Splunk internal - daemon logs,AI Analysis,3/25/2026,human_curated
splunkd_access,operational,SIEM,med,Web.Web,Splunk,Splunk daemon access logs,Splunk daemon REST/HTTP access log (splunkd_access.log) - per-request logs for the management port (default 8089). Used for Splunk admin/API audit visibility.,Y,Splunk internal - REST API access logs,AI Analysis,3/25/2026,human_curated
splunkd_conf,operational,,none,,Splunk,configuration change logs,Splunk configuration change log (configuration_change.log) - records conf-file modifications applied via splunk reload or REST. Important Change data model source for the Splunk platform itself.,Y,Splunk internal - configuration change logs,MDI Default,3/25/2026,human_curated
splunkd_stderr,operational,,none,,Splunk,daemon error output,Splunkd stderr output (splunkd_stderr.log) - low-level process/library errors emitted outside the structured splunkd.log channel.,Y,Splunk internal - daemon error output,MDI Default,3/25/2026,human_curated
splunkd_ui_access,operational,,none,,Splunk,UI access logs,"Splunk Web UI access log (splunkd_ui_access.log) - HTTP access entries for the Splunk Web frontend (default 8000), useful for SearchHead user activity tracking.",Y,Splunk internal - UI access logs,MDI Default,3/25/2026,human_curated
stash,operational,,none,,Splunk,summary index stash,Internal Splunk-generated source assigned to summarized events written via collect/sistats/sitop and tstats summary indexing. Should not be a primary search target.,Y,Splunk internal - summary index stash,MDI Default,3/25/2026,human_curated
too_small,operational,,none,,Splunk,truncated events,Splunk Universal Forwarder artifact - emitted when a monitored file is below the minimum size for sourcetype detection. Indicates very short logs or rotation tail-ends; review and tune props.conf.,Y,Splunk internal - truncated events,MDI Default,3/25/2026,human_curated
squid,security,SWG,med,"Web.Proxy, Network_Traffic.All_Traffic",Squid,Squid proxy server logs,Squid forward proxy umbrella sourcetype - typically routed to squid:access when access logs are the source. Web data model contributor.,N,,AI Analysis,3/25/2026,human_curated
squid/access,security,SWG,med,"Web.Web, Network_Traffic.All_Traffic",Squid,Squid access log (alt naming),"Squid forward-proxy access log entries indexed under a path-style sourcetype (squid/access rather than squid:access). HTTP method, URL, client IP, status, cache hit/miss outcome.",N,,AI Analysis,5/27/2026,human_curated
squid:access,security,SWG,med,Web.Web,Squid,Squid proxy access logs,"Squid forward proxy access log - per-request URL, action, cache result, content type, MIME. Feeds the Web data model.",N,,AI Analysis,3/25/2026,human_curated
squid:cache,operational,,low,,Squid,Squid cache.log operational events,"Squid forward proxy cache.log entries: cache manager events, errors, startup/shutdown messages, and operational diagnostics. Not user-traffic data.",N,,AI Analysis,5/27/2026,human_curated
krb_child,security,IAM,med,Authentication.Authentication,SSSD,SSSD auth daemon logs,SSSD krb_child helper log - per-Kerberos-authentication forked child process activity. Authentication detail.,N,,AI Analysis,3/25/2026,human_curated
krb5_child,security,IAM,med,Authentication.Authentication,SSSD,SSSD auth daemon logs,SSSD krb5_child helper log - alternative name for the Kerberos auth helper used in some sssd versions. Authentication detail.,N,,AI Analysis,3/25/2026,human_curated
ldap_child,security,IAM,med,Authentication.Authentication,SSSD,SSSD auth daemon logs,SSSD ldap_child helper log - per-LDAP-authentication forked child process activity. Authentication detail.,N,,AI Analysis,3/25/2026,human_curated
p11_child,security,IAM,med,Authentication.Authentication,SSSD,SSSD auth daemon logs,SSSD p11_child helper log - smart-card / PKCS#11 authentication helper activity. Authentication detail.,N,,AI Analysis,3/25/2026,human_curated
sssd,security,IAM,med,Authentication.Authentication,SSSD,SSSD auth daemon logs,"System Security Services Daemon (SSSD) main log - cache, sudo, NSS, and provider activity. Authentication-relevant on AD/IdM-joined Linux hosts.",N,,AI Analysis,3/25/2026,human_curated
sssd_kcm,security,IAM,med,Authentication.Authentication,SSSD,SSSD auth daemon logs,SSSD Kerberos Cache Manager log - per-user Kerberos credential cache activity managed by the kcm daemon. Authentication-relevant.,N,,AI Analysis,3/25/2026,human_curated
sssd_nss,security,IAM,med,Authentication.Authentication,SSSD,SSSD auth daemon logs,SSSD NSS responder log - Name Service Switch lookups for users/groups served by SSSD. Identity_Management data model contributor.,N,,AI Analysis,3/25/2026,human_curated
sssd_pac,security,IAM,med,Authentication.Authentication,SSSD,SSSD auth daemon logs,SSSD PAC responder log - Privilege Attribute Certificate processing for AD-joined hosts. Critical for accurate group membership in authentication events.,N,,AI Analysis,3/25/2026,human_curated
sssd_pam,security,IAM,med,Authentication.Authentication,SSSD,SSSD auth daemon logs,SSSD PAM responder log - PAM authentication request handling for SSSD-backed services. Feeds the Authentication data model.,N,,AI Analysis,3/25/2026,human_curated
sssd_redacted-realm,security,IAM,med,Authentication.Authentication,SSSD,SSSD auth daemon logs,SSSD provider log for a redacted-realm domain - per-domain provider activity for a tenant named redacted-realm. Same content shape as other domain-named sssd_* logs.,N,,AI Analysis,3/25/2026,human_curated
sssd_redacted-domain,security,IAM,med,Authentication.Authentication,SSSD,SSSD auth daemon logs,SSSD per-domain provider log (redacted-domain domain) - the sssd_<domain> form is generated automatically for each configured SSSD domain.,N,,AI Analysis,3/25/2026,human_curated
suricata,security,IDS,high,Intrusion_Detection.IDS_Attacks,Suricata,Suricata IDS/IPS logs,"Suricata IDS/IPS eve.json output - alerts, flows, http, dns, tls, file events. Feeds IDS, Network_Traffic, Web, Email, and Network_Resolution data models.",N,,AI Analysis,3/25/2026,human_curated
bluecoat,security,SWG,high,"Web.Proxy, Network_Traffic.All_Traffic",Symantec,Blue Coat proxy logs,"Blue Coat / Symantec ProxySG access log - HTTP/HTTPS request URL, category, action, and threat verdict. Feeds the Web data model.",N,,AI Analysis,3/25/2026,human_curated
symantec,security,EPP,high,Malware.Malware_Operations,Symantec,Symantec antivirus logs,"Symantec Endpoint Protection (SEP) log - virus, IDS, application/device control, behavioral detection events.",N,,AI Analysis,3/25/2026,human_curated
tanium,security,EDR,high,"Endpoint.Processes, Vulnerabilities.Vulnerabilities",Tanium,Tanium endpoint management logs,"Tanium endpoint platform log - sensor query results, action execution, comply/patch findings. Feeds Endpoint and Vulnerabilities data models.",N,,AI Analysis,3/25/2026,human_curated
nessus:plugin,operational,,low,Inventory.Inventory,Tenable,Nessus plugin information,"Tenable Nessus plugin metadata - plugin family, CVE refs, CVSS, risk factor, description. Lookup data used to enrich finding events with vulnerability context.",N,,AI Analysis,3/25/2026,human_curated
nessus:scan,security,VMS,high,Vulnerabilities.Vulnerabilities,Tenable,Tenable Nessus vulnerability scan results,"Tenable Nessus scan execution log - scan start/finish, scanner host, target counts, and policy used. Operational visibility for scan job state.",N,,AI Analysis,3/25/2026,human_curated
nessus:scan:results,security,VMS,high,Vulnerabilities.Vulnerabilities,Tenable,Nessus scan result details,"Tenable Nessus per-finding results - host, plugin_id, severity, port, protocol, plugin_output. Primary Vulnerabilities data model source from standalone Nessus.",N,,AI Analysis,3/25/2026,human_curated
nessus_agent,security,VMS,med,,Tenable,Tenable Nessus agent logs,"Tenable Nessus Agent logs - locally installed agent activity, scan plugin execution, link/unlink, and update events from the agent host.",N,,AI Analysis,3/25/2026,human_curated
nessus_messages,security,VMS,low,,Tenable,Tenable Nessus scan messages,Tenable Nessus messages log - scanner-side operational and error messages distinct from the per-finding scan results. Diagnostic visibility.,N,,AI Analysis,3/25/2026,human_curated
tenable:io:assets,operational,,low,Inventory.Inventory,Tenable,Tenable.io asset inventory,"Tenable.io asset inventory exported via the Splunk Add-on for Tenable - asset UUID, hostnames, IPs, OS, last seen, sources. Critical for ES Assets/Identities enrichment.",N,,AI Analysis,3/25/2026,human_curated
tenable:io:plugin,operational,,low,Inventory.Inventory,Tenable,Tenable.io plugin information,Tenable.io plugin metadata - same conceptual content as nessus:plugin scoped to the io tenant. Used as a lookup to enrich vuln findings.,N,,AI Analysis,3/25/2026,human_curated
tenable:io:vuln,security,VMS,high,Vulnerabilities.Vulnerabilities,Tenable,Tenable.io vulnerability data,"Tenable.io vulnerability finding records - per-host/per-plugin findings with state (open/fixed/reopened), severity, CVE list. Primary Vulnerabilities data model source for Tenable.io.",N,,AI Analysis,3/25/2026,human_curated
tenable:io:vuln_summary:ar,security,VMS,high,Vulnerabilities.Vulnerabilities,Tenable,Tenable vulnerability data,Tenable.io vulnerability summary asset record - rolled-up exposure per asset including counts by severity. Useful for high-cardinality dashboarding without per-finding fanout.,N,,AI Analysis,3/25/2026,human_curated
tenable:sc:asset,operational,,low,Inventory.Inventory,Tenable,Tenable Security Center asset data,Tenable Security Center asset list/group records - one entry per defined asset list or static asset. Inventory/scoping metadata.,N,,AI Analysis,3/25/2026,human_curated
tenable:sc:assets,security,VMS,med,Compute_Inventory.All_Inventory,Tenable,Tenable asset data,Tenable Security Center asset inventory - per-host asset records discovered across configured repositories. Feeds ES Assets/Identities.,N,,AI Analysis,3/25/2026,human_curated
tenable:sc:plugin,operational,,low,Inventory.Inventory,Tenable,Tenable Security Center plugin data,"Tenable Security Center plugin metadata - plugin ID, family, CVE refs, severity. Lookup data to enrich vuln events.",N,,AI Analysis,3/25/2026,human_curated
tenable:sc:plugins,security,VMS,med,,Tenable,Tenable plugin data,Plural variant of tenable:sc:plugin used by some add-on versions - same plugin metadata payload.,N,,AI Analysis,3/25/2026,human_curated
tenable:sc:policy,operational,,low,Inventory.Inventory,Tenable,Tenable Security Center policy data,Tenable Security Center scan policy definitions - template-derived policies with included/excluded plugins. Inventory of scan configuration.,N,,AI Analysis,3/25/2026,human_curated
tenable:sc:repository,operational,,low,Inventory.Inventory,Tenable,Tenable Security Center repository data,Tenable Security Center repository definitions - logical containers for scan data. Operational metadata used to scope vulnerability data correctly.,N,,AI Analysis,3/25/2026,human_curated
tenable:sc:scanresult,security,VMS,high,Vulnerabilities.Vulnerabilities,Tenable,Tenable Security Center scan results,Tenable Security Center scan result summaries - per-scan completion metadata distinct from per-vulnerability findings.,N,,AI Analysis,3/25/2026,human_curated
tenable:sc:user,operational,,low,Inventory.Inventory,Tenable,Tenable Security Center user data,"Tenable Security Center user account inventory - role, group, last login. Identity_Management data model contributor for the SC platform.",N,,AI Analysis,3/25/2026,human_curated
tenable:sc:vuln,security,VMS,high,Vulnerabilities.Vulnerabilities,Tenable,Tenable Security Center vulnerability data,"Tenable Security Center vulnerability findings - per-host/per-plugin records with severity, CVE list, plugin_output, first/last discovered. Primary Vulnerabilities data model source for Tenable.sc.",N,,AI Analysis,3/25/2026,human_curated
tsc:api:metrics:agents,operational,,none,Performance.All_Performance,Tenable,System performance metrics,Tenable.sc API metrics - per-call performance/health metrics for the /agents endpoint. Operational telemetry for the SC API tier.,N,,AI Analysis,3/25/2026,human_curated
tsc:api:metrics:api_client,operational,,none,Performance.All_Performance,Tenable,System performance metrics,Tenable.sc API metrics - performance/health metrics emitted by the SC API client component. Operational telemetry.,N,,AI Analysis,3/25/2026,human_curated
tsc:api:metrics:ldapcheck,operational,,none,Performance.All_Performance,Tenable,System performance metrics,Tenable.sc API metrics - per-call performance/health metrics for the /ldapcheck (LDAP integration test) endpoint. Operational telemetry.,N,,AI Analysis,3/25/2026,human_curated
tsc:api:metrics:organization,operational,,none,Performance.All_Performance,Tenable,System performance metrics,Tenable.sc API metrics - per-call performance/health metrics for the /organization endpoint. Operational telemetry.,N,,AI Analysis,3/25/2026,human_curated
tsc:api:metrics:plugins,operational,,none,Performance.All_Performance,Tenable,System performance metrics,Tenable.sc API metrics - per-call performance/health metrics for the /plugins endpoint. Operational telemetry.,N,,AI Analysis,3/25/2026,human_curated
tsc:api:metrics:repository,operational,,none,Performance.All_Performance,Tenable,System performance metrics,Tenable.sc API metrics - per-call performance/health metrics for the /repository endpoint. Operational telemetry.,N,,AI Analysis,3/25/2026,human_curated
tsc:api:metrics:scanner,operational,,none,Performance.All_Performance,Tenable,System performance metrics,Tenable.sc API metrics - per-call performance/health metrics for the /scanner endpoint. Operational telemetry.,N,,AI Analysis,3/25/2026,human_curated
tsc:api:metrics:scanner_manager,operational,,none,Performance.All_Performance,Tenable,System performance metrics,Tenable.sc API metrics - performance/health metrics for the SC scanner manager subsystem. Operational telemetry.,N,,AI Analysis,3/25/2026,human_curated
tsc:api:metrics:scanresult,operational,,none,Performance.All_Performance,Tenable,System performance metrics,Tenable.sc API metrics - per-call performance/health metrics for the /scanResult endpoint. Operational telemetry.,N,,AI Analysis,3/25/2026,human_curated
tsc:api:metrics:scans,operational,,none,Performance.All_Performance,Tenable,System performance metrics,Tenable.sc API metrics - per-call performance/health metrics for the /scans endpoint. Operational telemetry.,N,,AI Analysis,3/25/2026,human_curated
